vessel,carrier,voyage No.,service,POD,ETA,Berthing,Updatetime
 WAN HAI 510,OOC, N142 / S143, KTX6,OBE,NA, 2021/07/18 08:05,2021/7/22 19:14
 OOCL JAKARTA,OOC, 133N / 134S, KTX3,OBE,NA, 2021/07/15 17:25,2021/7/22 19:14
 NEW MINGZHOU 68,OOC, 2119E / 2119E, PCHN,OBE,NA, 2021/07/17 12:22,2021/7/22 19:14
 NYK FURANO,OOC, 074N / 075S, JKN,OBE,NA, 2021/07/18 17:29,2021/7/22 19:14
 ONE HUMBER,OOC, 087E / 087E, JPX,OBE,NA, 2021/07/12 20:17,2021/7/22 19:14
 GLORY TIANJIN,OOC, 2128S / 2128S, PJPN,OBE,NA, 2021/07/13 19:36,2021/7/22 19:14
 OOCL LE HAVRE,OOC, 145N / 146S, KTX2,OBE,NA, 2021/07/15 07:55,2021/7/22 19:14
 SEASPAN EMERALD,OOC, 253N / 254S, KTX5,OBE,NA, 2021/07/16 07:34,2021/7/22 19:14
 WAN HAI 510,OOC, N142 / S143, KTX6,OBE,NA, 2021/07/18 08:05,2021/7/22 19:14
 OOCL JAKARTA,OOC, 133N / 134S, KTX3,OBE,NA, 2021/07/15 17:25,2021/7/22 19:14
 NEW MINGZHOU 68,OOC, 2119E / 2119E, PCHN,OBE,NA, 2021/07/17 12:22,2021/7/22 19:14
 NYK FURANO,OOC, 074N / 075S, JKN,OBE,NA, 2021/07/18 17:29,2021/7/22 19:14
 NEW MINGZHOU 66,OOC, 2120E / 2120E, PCHN,OBE,NA, 2021/07/19 17:15,2021/7/22 19:14
 NEW MINGZHOU 28,OOC, 2119E / 2119E, PCHN,OBE,NA, 2021/07/20 07:19,2021/7/22 19:15
 NYK VENUS,OOC, 068W / 068W, JPX,OBE,NA, 2021/07/23 11:45,2021/7/22 19:15
 NAVIOS MIAMI,OOC, 159N / 160S, JKN,OBE,NA, 2021/07/24 08:00,2021/7/22 19:15
 SEASPAN EMINENCE,OOC, 117N / 118S, KTX5,OBE,NA, 2021/07/25 14:45,2021/7/22 19:15
 GLORY FORTUNE,OOC, 2129S / 2129S, PJPN,OBE,NA, 2021/07/19 17:20,2021/7/22 19:15
 KETA,OOC, 037N / 038S, KTX1,OBE,NA, 2021/07/20 23:11,2021/7/22 19:15
 ONE HARBOUR,OOC, 088E / 088E, JPX,OBE,NA, 2021/07/25 15:50,2021/7/22 19:15
 VELA,OOC, 257N / 258S, KTX3,OBE,NA, 2021/07/19 23:25,2021/7/22 19:15
 NEW MINGZHOU 66,OOC, 2120E / 2120E, PCHN,OBE,NA, 2021/07/19 17:15,2021/7/22 19:15
 NEW MINGZHOU 28,OOC, 2119E / 2119E, PCHN,OBE,NA, 2021/07/20 07:19,2021/7/22 19:15
 NYK VENUS,OOC, 068W / 068W, JPX,OBE,NA, 2021/07/23 11:45,2021/7/22 19:15
 NAVIOS MIAMI,OOC, 159N / 160S, JKN,OBE,NA, 2021/07/24 08:00,2021/7/22 19:15
 SEASPAN EMINENCE,OOC, 117N / 118S, KTX5,OBE,NA, 2021/07/25 14:45,2021/7/22 19:15
 GLORY FORTUNE,OOC, 2129S / 2129S, PJPN,OBE,NA, 2021/07/19 17:20,2021/7/22 19:15
 KETA,OOC, 037N / 038S, KTX1,OBE,NA, 2021/07/20 23:11,2021/7/22 19:15
 ONE HARBOUR,OOC, 088E / 088E, JPX,OBE,NA, 2021/07/25 15:50,2021/7/22 19:15
 VELA,OOC, 257N / 258S, KTX3,OBE,NA, 2021/07/19 23:25,2021/7/22 19:15
 WAN HAI 506,OOC, N196 / S197, KTX6,OBE,NA, 2021/07/26 08:10,2021/7/22 19:15
 HE SHENG,OOC, 2130S / 2130S, PJPN,OBE,NA, 2021/07/27,2021/7/22 19:15
 SPECTRUM N,OOC, 015N / 016S, KTX2,OBE,NA, 2021/07/28 08:00,2021/7/22 19:15
 BLANDINE,OOC, 105N / 106S, KTX5,OBE,NA, 2021/07/29 08:00,2021/7/22 19:15
 ONE HANNOVER,OOC, 085E / 085E, JPX,OBE,NA, 2021/07/31 12:30,2021/7/22 19:15
 OOCL NEW ZEALAND,OOC, 102N / 103S, KTX3,OBE,NA, 2021/08/01 02:00,2021/7/22 19:15
 OOCL NAGOYA,OOC, 153N / 154S, KTX2,OBE,NA, 2021/07/26 14:00,2021/7/22 19:15
 YM CONTINENT,OOC, 021N / 021N, JMV,OBE,NA, 2021/07/28 09:00,2021/7/22 19:15
 CAPE ORIENT,OOC, 104N / 105S, KTX1,OBE,NA, 2021/07/31 22:00,2021/7/22 19:15
 NEW MINGZHOU 16,OOC, 2120E / 2120E, PCHN,OBE,NA, 2021/07/27 18:00,2021/7/22 19:15
 ONE HANOI,OOC, 040W / 040W, JPX,OBE,NA, 2021/07/28 20:00,2021/7/22 19:15
 OOCL CHARLESTON,OOC, 202N / 203S, KTX2,OBE,NA, 2021/07/27 21:00,2021/7/22 19:15
 WAN HAI 506,OOC, N196 / S197, KTX6,OBE,NA, 2021/07/26 08:10,2021/7/22 19:15
 HE SHENG,OOC, 2130S / 2130S, PJPN,OBE,NA, 2021/07/27,2021/7/22 19:15
 SPECTRUM N,OOC, 015N / 016S, KTX2,OBE,NA, 2021/07/28 08:00,2021/7/22 19:15
 BLANDINE,OOC, 105N / 106S, KTX5,OBE,NA, 2021/07/29 08:00,2021/7/22 19:15
 ONE HANNOVER,OOC, 085E / 085E, JPX,OBE,NA, 2021/07/31 12:30,2021/7/22 19:16
 OOCL NEW ZEALAND,OOC, 102N / 103S, KTX3,OBE,NA, 2021/08/01 02:00,2021/7/22 19:16
 OOCL NAGOYA,OOC, 153N / 154S, KTX2,OBE,NA, 2021/07/26 14:00,2021/7/22 19:16
 YM CONTINENT,OOC, 021N / 021N, JMV,OBE,NA, 2021/07/28 09:00,2021/7/22 19:16
 CAPE ORIENT,OOC, 104N / 105S, KTX1,OBE,NA, 2021/07/31 22:00,2021/7/22 19:16
 NEW MINGZHOU 16,OOC, 2120E / 2120E, PCHN,OBE,NA, 2021/07/27 18:00,2021/7/22 19:16
 ONE HANOI,OOC, 040W / 040W, JPX,OBE,NA, 2021/07/28 20:00,2021/7/22 19:16
 OOCL CHARLESTON,OOC, 202N / 203S, KTX2,OBE,NA, 2021/07/27 21:00,2021/7/22 19:16
 OOCL DALIAN,OOC, 662N / 663S, KTX6,OBE,NA, 2021/08/03,2021/7/22 19:16
 OOCL LE HAVRE,OOC, 146N / 147S, KTX2,OBE,NA, 2021/08/04 08:00,2021/7/22 19:16
 THORSTAR,OOC, 010N / 010N, JMV,OBE,NA, 2021/08/06,2021/7/22 19:16
 DELAWARE TRADER,OOC, 032N / 033S, KTX1,OBE,NA, 2021/08/07,2021/7/22 19:16
 KMTC YOKOHAMA,OOC, 006N / 006N, JMV,OBE,NA, 2021/08/08,2021/7/22 19:16
 OOCL AUSTRALIA,OOC, 210N / 211S, KTX3,OBE,NA, 2021/08/04 08:00,2021/7/22 19:16
 NYK VEGA,OOC, 072E / 072E, JPX,OBE,NA, 2021/08/08 08:00,2021/7/22 19:16
 GRASMERE MAERSK,OOC, 114N / 121S, JKN,OBE,NA, 2021/08/04 14:00,2021/7/22 19:16
 EVER BOARD (BKLQ),EVG, 1359-034N / 1363-035S, NSD,TYO, --Skip--, --Skip--,2021/7/22 19:16
 EVER BUILD (3ELY7),EVG, 1358-029N / 1363-030S, NSD,TYO, 2021/07/06 12:04, 2021/07/06 12:46,2021/7/22 19:16
 EVER ENVOY (VSQL9),EVG, 0321-169W / 0321-169W, TPN(W),TYO, 2021/07/08 09:40, 2021/07/08 10:50,2021/7/22 19:16
 EVER BASIS (BKLG),EVG, 0934-032B / 0942-033A, JPI,TYO, --Skip--, --Skip--,2021/7/22 19:16
 YM CENTENNIAL (D5WQ9),EVG, 013N / 014S, JTS(N/S),TYO, 2021/07/11 06:57, 2021/07/11 07:54,2021/7/22 19:16
 NYK VESTA (3EJI4),EVG, ------ / 072E, PS1,TYO, 2021/07/05 15:03, 2021/07/05 15:47,2021/7/22 19:16
 NYK VIRGO (9V5456),EVG, 070W / ------, PS1(W),TYO, 2021/07/06 17:42, 2021/07/06 18:25,2021/7/22 19:16
 FUTURE (3FSC7),EVG, 1485-032N / 1488-033S, NSC,TYO, 2021/07/05 17:15, 2021/07/05 18:05,2021/7/22 19:16
 YM IMAGE (A8HX3),EVG, 151N / ------, JTC,TYO, 2021/07/12 06:12, 2021/07/12 06:42,2021/7/22 19:16
 EVER PEARL (9V9794),EVG, N331 / S332, JTP,TYO, 2021/07/13 06:58, 2021/07/13 07:46,2021/7/22 19:16
 WAN HAI 267 (9VDB6),EVG, N320 / S321, JTP,TYO, 2021/07/14 22:12, 2021/07/14 22:46,2021/7/22 19:16
 EVER UNIFIC (9V7961),EVG, 0319-159W / 0319-159W, TPN(W),TYO, 2021/07/15 06:12, 2021/07/15 06:59,2021/7/22 19:16
 ONE HUMBER (3EHZ5),EVG, ------ / 087E, PS1,TYO, 2021/07/17 06:47, 2021/07/17 07:40,2021/7/22 19:16
 CAIYUNHE (H3MN),EVG, 1783N / ------, JCV1,TYO, 2021/07/13 08:54, 2021/07/13 09:26,2021/7/22 19:16
 PROGRESS C (3FDV8),EVG, 1486-075N / 1489-076S, NSC,TYO, 2021/07/13 21:26, 2021/07/13 22:17,2021/7/22 19:16
 EVER BIRTH (3EUL8),EVG, 1361-047N / 1365-048S, NSD,TYO, --Skip--, --Skip--,2021/7/22 19:16
 EVER BALMY (BKLB),EVG, 1360-047N / 1365-048S, NSD,TYO, 2021/07/20 06:35, 2021/07/20 07:25,2021/7/22 19:17
 EVER SUMMIT (3EKU3),EVG, 0322-099W / 0322-099W, TPN(W),TYO, 2021/07/22 06:44, 2021/07/22 07:50,2021/7/22 19:17
 YM INTERACTION (A8KS7),EVG, 217N / ------, JTC,TYO, 2021/07/23 00:01, 2021/07/23 01:00,2021/7/22 19:17
 EVER BOOMY (HOGZ),EVG, 0936-041B / 0944-042A, JPI,TYO, 2021/07/24 08:00, 2021/07/24 09:00,2021/7/22 19:17
 CAPE FORBY (V7KR5),EVG, 1785N / ------, JCV1,TYO, 2021/07/25 13:30, 2021/07/25 14:30,2021/7/22 19:17
 YM CONTINUITY (D5WR7),EVG, 001N / 002S, JTS(N/S),TYO, 2021/07/19 11:40, 2021/07/19 12:29,2021/7/22 19:17
 NYK VENUS (3EJG5),EVG, 068W / ------, PS1(W),TYO, 2021/07/20 06:54, 2021/07/20 07:49,2021/7/22 19:17
 ONE HANOI (3FHS3),EVG, 040W / ------, PS1(W),TYO, 2021/07/25 18:00, 2021/07/25 19:00,2021/7/22 19:17
 EVER BURLY (H9ON),EVG, 0935-028B / 0943-029A, JPI,TYO, 2021/07/19 11:49, 2021/07/19 12:37,2021/7/22 19:17
 FENGYUNHE (3FXG8),EVG, 1785N / ------, JCV1,TYO, 2021/07/20 22:55, 2021/07/20 23:48,2021/7/22 19:17
 YM CONSTANCY (D5WR5),EVG, 004N / 005S, JTS(N/S),TYO, 2021/07/26 07:00, 2021/07/26 08:00,2021/7/22 19:17
 STRIDE (3FRT7),EVG, 1487-053N / 1491-054S, NSC,TYO, 2021/07/27, 2021/07/27,2021/7/22 19:17
 YM INAUGURATION (BLHE),EVG, 255N / ------, JTC,TYO, 2021/07/29 07:00, 2021/07/29 08:00,2021/7/22 19:17
 CAIYUNHE (H3MN),EVG, 1785N / ------, JCV1,TYO, 2021/07/31, 2021/07/31,2021/7/22 19:17
 FUTURE (3FSC7),EVG, 1488-033N / 1492-034S, NSC,TYO, 2021/08/01, 2021/08/01,2021/7/22 19:17
 ONE HARBOUR (3EIQ5),EVG, ------ / 088E, PS1,TYO, 2021/07/29 07:00, 2021/07/29 08:00,2021/7/22 19:17
 WAN HAI 266 (9VDB5),EVG, N447 / S448, JTP,TYO, 2021/07/31, 2021/07/31,2021/7/22 19:17
 EVER PEARL (9V9794),EVG, N332 / S333, JTP,TYO, 2021/07/29 18:30, 2021/07/29 19:30,2021/7/22 19:17
 EVER BLESS (BKLT),EVG, 0937-025B / 0945-026A, JPI,TYO, 2021/07/31, 2021/07/31,2021/7/22 19:17
 YM CAPACITY (D5WR2),EVG, 010N / 011S, JTS(N/S),TYO, 2021/07/31 19:00, 2021/07/31 20:00,2021/7/22 19:17
 EVER BOARD (BKLQ),EVG, 1362-035N / 1366-036S, NSD,TYO, 2021/08/02, 2021/08/02,2021/7/22 19:17
 ONE HANNOVER (3EIC8),EVG, ------ / 085E, PS1,TYO, 2021/08/03 12:00, 2021/08/03 13:00,2021/7/22 19:17
 WAN HAI 267 (9VDB6),EVG, N321 / S322, JTP,TYO, 2021/08/04, 2021/08/04,2021/7/22 19:17
 EVER BUILD (3ELY7),EVG, 1363-030N / 1367-031S, NSD,TYO, 2021/08/05, 2021/08/05,2021/7/22 19:17
 EVER SMART (MLBD9),EVG, 0323-112W / 0323-112W, TPN(W),TYO, 2021/08/06, 2021/08/06,2021/7/22 19:17
 WAN HAI 266 (9VDB5),EVG, N448 / S449, JTP,TYO, 2021/08/07, 2021/08/07,2021/7/22 19:17
 FENGYUNHE (3FXG8),EVG, 1787N / ------, JCV1,TYO, 2021/08/04, 2021/08/04,2021/7/22 19:17
 PROGRESS C (3FDV8),EVG, 1489-076N / 1493-077S, NSC,TYO, --Skip--, --Skip--,2021/7/22 19:17
 EVER SUPERB (9V6256),EVG, 0325-090W / 0325-090W, TPN(W),TYO, 2021/08/06, 2021/08/06,2021/7/22 19:17
 ONE HAMMERSMITH (3FQE8),EVG, 072W / ------, PS1(W),TYO, 2021/08/04 17:00, 2021/08/04 18:00,2021/7/22 19:17
 YM CENTENNIAL (D5WQ9),EVG, 014N / 015S, JTS(N/S),TYO, 2021/08/05, 2021/08/05,2021/7/22 19:17
 YM IMPROVEMENT (A8KS9),EVG, 204N / ------, JTC,TYO, 2021/08/05 07:00, 2021/08/05 08:00,2021/7/22 19:17
 FUTURE (3FSC7),EVG, 1485-032N / 1488-033S, NSC,YOK, 2021/07/05 07:35, 2021/07/05 08:10,2021/7/22 19:18
 EVER BEING (BKLO),EVG, 0933-026B / 0941-027A, JPI,YOK, 2021/07/05 18:18, 2021/07/06 08:20,2021/7/22 19:18
 EVER BUILD (3ELY7),EVG, 1358-029N / 1363-030S, NSD,YOK, 2021/07/07 07:35, 2021/07/07 08:10,2021/7/22 19:18
 SAN PEDRO (9HA3492),EVG, ------ / 126S, IA88,YOK, --Skip--, --Skip--,2021/7/22 19:18
 CMA CGM MUMBAI (VRRP8),EVG, 0MH88W1MA / 0MH88W1MA, WSA4,YOK, 2021/07/08 23:25, 2021/07/09 00:30,2021/7/22 19:18
 EVER BASIS (BKLG),EVG, 0934-032B / 0942-033A, JPI,YOK, --Skip--, --Skip--,2021/7/22 19:18
 EVER BOARD (BKLQ),EVG, 1359-034N / 1363-035S, NSD,YOK, --Skip--, --Skip--,2021/7/22 19:18
 YM IMAGE (A8HX3),EVG, 151N / ------, JTC,YOK, 2021/07/11 19:20, 2021/07/11 20:25,2021/7/22 19:18
 YM CENTENNIAL (D5WQ9),EVG, 013N / 014S, JTS(N/S),YOK, 2021/07/12 07:30, 2021/07/12 08:15,2021/7/22 19:18
 EVER PEARL (9V9794),EVG, N331 / S332, JTP,YOK, 2021/07/13 17:55, 2021/07/13 18:45,2021/7/22 19:18
 CAIYUNHE (H3MN),EVG, 1783N / ------, JCV1,YOK, 2021/07/14 00:25, 2021/07/14 01:15,2021/7/22 19:18
 CMA CGM CHENNAI (VRRQ5),EVG, 0MH8AW1MA / 0MH8AW1MA, WSA4,YOK, 2021/07/15 05:15, 2021/07/15 06:10,2021/7/22 19:18
 NORDLION (5BBE4),EVG, ------ / 127S, IA88,YOK, 2021/07/13 20:15, 2021/07/13 21:15,2021/7/22 19:18
 WAN HAI 267 (9VDB6),EVG, N320 / S321, JTP,YOK, 2021/07/14 12:20, 2021/07/14 13:00,2021/7/22 19:18
 PROGRESS C (3FDV8),EVG, 1486-075N / 1489-076S, NSC,YOK, 2021/07/14 18:00, 2021/07/14 18:45,2021/7/22 19:18
 FEEDER 2 (9V6991),EVG, ------ / 128S, IA88,YOK, --Skip--, --Skip--,2021/7/22 19:18
 EVER BIRTH (3EUL8),EVG, 1361-047N / 1365-048S, NSD,YOK, --Skip--, --Skip--,2021/7/22 19:18
 YM CONTINUITY (D5WR7),EVG, 001N / 002S, JTS(N/S),YOK, 2021/07/21 07:35, 2021/07/21 08:35,2021/7/22 19:18
 CMA CGM TUTICORIN (VRNY5),EVG, 0MH8CW1MA / 0MH8CW1MA, WSA4,YOK, 2021/07/22 05:20, 2021/07/22 06:20,2021/7/22 19:18
 YM INTERACTION (A8KS7),EVG, 217N / ------, JTC,YOK, 2021/07/23 19:30, 2021/07/23 20:30,2021/7/22 19:18
 CAPE FORBY (V7KR5),EVG, 1785N / ------, JCV1,YOK, 2021/07/25, 2021/07/25,2021/7/22 19:18
 EVER BURLY (H9ON),EVG, 0935-028B / 0943-029A, JPI,YOK, 2021/07/20 07:20, 2021/07/20 08:25,2021/7/22 19:18
 EVER BALMY (BKLB),EVG, 1360-047N / 1365-048S, NSD,YOK, 2021/07/21 07:35, 2021/07/21 08:15,2021/7/22 19:18
 EVER BOOMY (HOGZ),EVG, 0936-041B / 0944-042A, JPI,YOK, 2021/07/25 07:30, 2021/07/25 08:30,2021/7/22 19:18
 FENGYUNHE (3FXG8),EVG, 1785N / ------, JCV1,YOK, 2021/07/21 17:40, 2021/07/21 18:25,2021/7/22 19:18
 STRIDE (3FRT7),EVG, 1487-053N / 1491-054S, NSC,YOK, 2021/07/26 07:30, 2021/07/26 08:30,2021/7/22 19:18
 YM CONSTANCY (D5WR5),EVG, 004N / 005S, JTS(N/S),YOK, 2021/07/27, 2021/07/27,2021/7/22 19:18
 TRIESTE TRADER (9HA4916),EVG, ------ / 129S, IA88,YOK, 2021/07/28 10:30, 2021/07/28 11:30,2021/7/22 19:18
 CMA CGM NIAGARA (9HA4133),EVG, 0MH8EW1MA / 0MH8EW1MA, WSA4,YOK, 2021/07/29, 2021/07/29,2021/7/22 19:18
 WAN HAI 266 (9VDB5),EVG, N447 / S448, JTP,YOK, 2021/07/30, 2021/07/30,2021/7/22 19:18
 CAIYUNHE (H3MN),EVG, 1785N / ------, JCV1,YOK, 2021/07/31, 2021/07/31,2021/7/22 19:18
 EVER BLESS (BKLT),EVG, 0937-025B / 0945-026A, JPI,YOK, 2021/08/01, 2021/08/01,2021/7/22 19:18
 EVER PEARL (9V9794),EVG, N332 / S333, JTP,YOK, 2021/07/29 07:00, 2021/07/29 08:00,2021/7/22 19:19
 YM INAUGURATION (BLHE),EVG, 255N / ------, JTC,YOK, 2021/07/30 07:00, 2021/07/30 08:00,2021/7/22 19:19
 FUTURE (3FSC7),EVG, 1488-033N / 1492-034S, NSC,YOK, 2021/08/02, 2021/08/02,2021/7/22 19:19
 EVER BOARD (BKLQ),EVG, 1362-035N / 1366-036S, NSD,YOK, 2021/08/03, 2021/08/03,2021/7/22 19:19
 FENGYUNHE (3FXG8),EVG, 1787N / ------, JCV1,YOK, 2021/08/05, 2021/08/05,2021/7/22 19:19
 PROGRESS C (3FDV8),EVG, 1489-076N / 1493-077S, NSC,YOK, --Skip--, --Skip--,2021/7/22 19:19
 WAN HAI 266 (9VDB5),EVG, N448 / S449, JTP,YOK, 2021/08/07, 2021/08/07,2021/7/22 19:19
 YM CAPACITY (D5WR2),EVG, 010N / 011S, JTS(N/S),YOK, 2021/08/02 07:30, 2021/08/02 08:30,2021/7/22 19:19
 WAN HAI 267 (9VDB6),EVG, N321 / S322, JTP,YOK, 2021/08/03, 2021/08/03,2021/7/22 19:19
 CMA CGM GANGES (OXZO2),EVG, 0MH8GW1MA / 0MH8GW1MA, WSA4,YOK, 2021/08/05, 2021/08/05,2021/7/22 19:19
 EVER BUILD (3ELY7),EVG, 1363-030N / 1367-031S, NSD,YOK, 2021/08/06, 2021/08/06,2021/7/22 19:19
 YM CENTENNIAL (D5WQ9),EVG, 014N / 015S, JTS(N/S),YOK, 2021/08/07, 2021/08/07,2021/7/22 19:19
 FEEDER 1 (9V2572),EVG, ------ / 130S, IA88,YOK, 2021/08/02 23:30, 2021/08/03 00:30,2021/7/22 19:19
 YM IMPROVEMENT (A8KS9),EVG, 204N / ------, JTC,YOK, 2021/08/06 07:00, 2021/08/06 08:00,2021/7/22 19:19
 EVER BOARD (BKLQ),EVG, 1359-034N / 1363-035S, NSD,NGO, --Skip--, --Skip--,2021/7/22 19:19
 FUTURE (3FSC7),EVG, 1485-032N / 1488-033S, NSC,NGO, 2021/07/08 04:15, 2021/07/08 05:55,2021/7/22 19:19
 YM CENTENNIAL (D5WQ9),EVG, 013N / 014S, JTS(N/S),NGO, 2021/07/09 14:30, 2021/07/09 15:30,2021/7/22 19:19
 NYK VIRGO (9V5456),EVG, 070W / ------, PS1,NGO, 2021/07/11 19:00, 2021/07/11 20:35,2021/7/22 19:19
 EVER BEING (BKLO),EVG, 0933-026B / 0941-027A, JPI,NGO, 2021/07/07 16:25, 2021/07/07 17:40,2021/7/22 19:19
 EVER BUILD (3ELY7),EVG, 1358-029N / 1363-030S, NSD,NGO, 2021/07/08 15:55, 2021/07/08 17:20,2021/7/22 19:19
 SAN PEDRO (9HA3492),EVG, ------ / 126S, IA88,NGO, 2021/07/07 17:00, 2021/07/07 18:20,2021/7/22 19:19
 EVER BASIS (BKLG),EVG, 0934-032B / 0942-033A, JPI,NGO, --Skip--, --Skip--,2021/7/22 19:19
 ONE HUMBER (3EHZ5),EVG, ------ / 087E, PS1,NGO, 2021/07/14 18:10, 2021/07/14 19:35,2021/7/22 19:19
 CAIYUNHE (H3MN),EVG, 1783N / ------, JCV1,NGO, 2021/07/15 06:35, 2021/07/15 07:50,2021/7/22 19:19
 PROGRESS C (3FDV8),EVG, 1486-075N / 1489-076S, NSC,NGO, 2021/07/16 17:40, 2021/07/16 18:50,2021/7/22 19:19
 YM CONTINUITY (D5WR7),EVG, 001N / 002S, JTS(N/S),NGO, 2021/07/18 06:40, 2021/07/18 08:10,2021/7/22 19:19
 YM IMAGE (A8HX3),EVG, 151N / ------, JTC,NGO, 2021/07/13 14:00, 2021/07/13 15:10,2021/7/22 19:19
 NORDLION (5BBE4),EVG, ------ / 127S, IA88,NGO, 2021/07/15 06:40, 2021/07/15 08:10,2021/7/22 19:19
 FEEDER 2 (9V6991),EVG, ------ / 128S, IA88,NGO, --Skip--, --Skip--,2021/7/22 19:19
 EVER BIRTH (3EUL8),EVG, 1361-047N / 1365-048S, NSD,NGO, --Skip--, --Skip--,2021/7/22 19:19
 EVER BURLY (H9ON),EVG, 0935-028B / 0943-029A, JPI,NGO, 2021/07/21 22:40, 2021/07/22 00:10,2021/7/22 19:20
 YM INTERACTION (A8KS7),EVG, 217N / ------, JTC,NGO, 2021/07/24 06:45, 2021/07/24 07:45,2021/7/22 19:20
 NYK VENUS (3EJG5),EVG, 068W / ------, PS1,NGO, 2021/07/25 06:00, 2021/07/25 07:00,2021/7/22 19:20
 EVER BALMY (BKLB),EVG, 1360-047N / 1365-048S, NSD,NGO, 2021/07/22 11:35, 2021/07/22 13:00,2021/7/22 19:20
 FENGYUNHE (3FXG8),EVG, 1785N / ------, JCV1,NGO, 2021/07/22 12:45, 2021/07/22 13:50,2021/7/22 19:20
 CAPE FORBY (V7KR5),EVG, 1785N / ------, JCV1,NGO, 2021/07/26, 2021/07/26,2021/7/22 19:20
 YM CONSTANCY (D5WR5),EVG, 004N / 005S, JTS(N/S),NGO, 2021/07/27 06:50, 2021/07/27 07:50,2021/7/22 19:20
 STRIDE (3FRT7),EVG, 1487-053N / 1491-054S, NSC,NGO, 2021/07/28, 2021/07/28,2021/7/22 19:20
 TRIESTE TRADER (9HA4916),EVG, ------ / 129S, IA88,NGO, 2021/07/29 09:30, 2021/07/29 10:30,2021/7/22 19:20
 ONE HANOI (3FHS3),EVG, 040W / ------, PS1,NGO, 2021/07/30 07:00, 2021/07/30 08:00,2021/7/22 19:20
 YM INAUGURATION (BLHE),EVG, 255N / ------, JTC,NGO, 2021/07/31 07:00, 2021/07/31 08:00,2021/7/22 19:20
 ONE HANNOVER (3EIC8),EVG, ------ / 085E, PS1,NGO, 2021/08/01 18:30, 2021/08/01 19:30,2021/7/22 19:20
 EVER BOOMY (HOGZ),EVG, 0936-041B / 0944-042A, JPI,NGO, 2021/07/27 07:00, 2021/07/27 08:00,2021/7/22 19:20
 YM CAPACITY (D5WR2),EVG, 010N / 011S, JTS(N/S),NGO, 2021/07/30 15:00, 2021/07/30 16:00,2021/7/22 19:20
 ONE HARBOUR (3EIQ5),EVG, ------ / 088E, PS1,NGO, 2021/07/27 18:00, 2021/07/27 19:00,2021/7/22 19:20
 CAIYUNHE (H3MN),EVG, 1785N / ------, JCV1,NGO, 2021/08/02, 2021/08/02,2021/7/22 19:20
 EVER BLESS (BKLT),EVG, 0937-025B / 0945-026A, JPI,NGO, 2021/08/03, 2021/08/03,2021/7/22 19:20
 FUTURE (3FSC7),EVG, 1488-033N / 1492-034S, NSC,NGO, 2021/08/04, 2021/08/04,2021/7/22 19:20
 FENGYUNHE (3FXG8),EVG, 1787N / ------, JCV1,NGO, 2021/08/06, 2021/08/06,2021/7/22 19:20
 EVER BUILD (3ELY7),EVG, 1363-030N / 1367-031S, NSD,NGO, 2021/08/07, 2021/08/07,2021/7/22 19:20
 PROGRESS C (3FDV8),EVG, 1489-076N / 1493-077S, NSC,NGO, --Skip--, --Skip--,2021/7/22 19:20
 FEEDER 1 (9V2572),EVG, ------ / 130S, IA88,NGO, 2021/08/03 22:30, 2021/08/03 23:30,2021/7/22 19:20
 EVER BOARD (BKLQ),EVG, 1362-035N / 1366-036S, NSD,NGO, 2021/08/04, 2021/08/04,2021/7/22 19:20
 YM IMPROVEMENT (A8KS9),EVG, 204N / ------, JTC,NGO, 2021/08/07 07:00, 2021/08/07 08:00,2021/7/22 19:20
 YM CENTENNIAL (D5WQ9),EVG, 014N / 015S, JTS(N/S),NGO, 2021/08/04, 2021/08/04,2021/7/22 19:20
 EVER ETHIC (VQFS4),EVG, 0320-149W / 0320-149W, TPN(W),OSA, --Skip--, --Skip--,2021/7/22 19:20
 SAN PEDRO (9HA3492),EVG, ------ / 126S, IA88,OSA, 2021/07/06 12:39, 2021/07/06 13:15,2021/7/22 19:20
 WAN HAI 281 (9VJM5),EVG, N187 / S187, JTH,OSA, 2021/07/07 10:49, 2021/07/07 11:18,2021/7/22 19:20
 UNI-PATRIOT (3FCF9),EVG, 0116-334N / 0119-335S, JCH,OSA, 2021/07/08 21:41, 2021/07/08 22:22,2021/7/22 19:20
 EVER CALM (H3OA),EVG, 1819-027N / 1823-028S, NSA,OSA, 2021/07/09 12:04, 2021/07/09 12:40,2021/7/22 19:20
 EVER ENVOY (VSQL9),EVG, 0321-169W / 0321-169W, TPN(W),OSA, 2021/07/10 07:00, 2021/07/10 07:44,2021/7/22 19:20
 EVER PEARL (9V9794),EVG, N331 / S332, JTP,OSA, 2021/07/10 17:51, 2021/07/10 18:25,2021/7/22 19:20
 WAN HAI 267 (9VDB6),EVG, N320 / S321, JTP,OSA, 2021/07/12 07:09, 2021/07/12 07:49,2021/7/22 19:21
 FEEDER 2 (9V6991),EVG, ------ / 128S, IA88,OSA, --Skip--, --Skip--,2021/7/22 19:21
 NORDLION (5BBE4),EVG, ------ / 127S, IA88,OSA, 2021/07/12 07:34, 2021/07/12 08:08,2021/7/22 19:21
 EVER UNIFIC (9V7961),EVG, 0319-159W / 0319-159W, TPN(W),OSA, 2021/07/17 07:03, 2021/07/17 07:50,2021/7/22 19:21
